_step,_runtime,Losses/reg_loss,global_step,_timestamp,returned_episode_lengths,General/explore,General/shaped_reward_agent1,Scaled_returns/evaluation_0__smallest_kitchen_scaled,General/env_index,Advantage_Targets/advantages,Evaluation/0__smallest_kitchen,Scaled_returns/evaluation_1__square_arena_scaled,returned_episode_returns,reward,General/env_step,Scaled_returns/evaluation_4__cramped_room_scaled,General/shaped_reward_agent0,Evaluation/3__easy_layout,Evaluation/5__asymm_advantages,Scaled_returns/returned_episode_returns_scaled,Evaluation/1__square_arena,Scaled_returns/evaluation_2__no_cooperation_scaled,returned_episode,Losses/total_loss,General/update_step,Advantage_Targets/targets,General/steps_for_env,Losses/entropy,explore,General/learning_rate,Scaled_returns/evaluation_3__easy_layout_scaled,Losses/value_loss,General/shaped_reward_annealed_agent0,General/shaped_reward_annealed_agent1,Scaled_returns/evaluation_5__asymm_advantages_scaled,Losses/actor_loss,Evaluation/4__cramped_room,Evaluation/2__no_cooperation,task_2_2__no_cooperation
3536,720.900503412,,7656.0,1746880989.8634768,,,,,,0.01698833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3539,720.900538463,,7656.0,1746880989.8636026,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
3554,720.900714737,,7656.0,1746880989.865046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0045936406,,,
3559,720.900772307,,7656.0,1746880989.8651948,,,,0.9133858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3571,720.900907024,,7731.0,1746880994.2725,,,,,,0.024101468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3597,720.901197649,,7731.0,1746880994.2747207,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
3611,720.901353451,,7806.0,1746880998.682982,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
3633,720.902009256,,7806.0,1746880998.68485,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
3653,840.923043627,,7887.0,1746881123.3656335,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003,,,,,,,,,
3669,840.923590249,,7887.0,1746881123.3670805,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
3677,840.923760203,,7962.0,1746881127.765464,,,,,,-0.00090921303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3704,840.924705153,,7962.0,1746881127.7679052,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
3735,840.925090907,,8037.0,1746881132.1701188,,,,0.92913383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3783,840.925699702,,8187.0,1746881140.973543,,,,,,,,,,,,,,,,,,,,,,0.0010759663,,,,,,,,,,,,,
3796,840.925874883,,8187.0,1746881140.9743283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
3874,840.926761878,,8337.0,1746881149.7813377,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1064097e-05,,,,,,,
3875,840.926774328,,8337.0,1746881149.781381,,,,0.92913383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3919,840.927269778,,8412.0,1746881154.1889365,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3925,840.927545873,,8487.0,1746881158.5894725,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
3935,840.9277327,,8487.0,1746881158.5905147,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3946,840.928069668,,8487.0,1746881158.5914972,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3962,840.928452792,,8562.0,1746881162.9923959,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
3964,840.928495083,,8562.0,1746881162.99245,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
3965,840.928523229,,8562.0,1746881162.9924898,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4006,840.929323297,,8637.0,1746881167.397054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
4021,840.929494827,,8637.0,1746881167.398469,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
