returned_episode_lengths,_step,_runtime,global_step,_timestamp,General/learning_rate,reward,Scaled_returns/evaluation_2__square_arena_scaled,General/explore,General/shaped_reward_agent0,General/shaped_reward_annealed_agent1,Losses/reg_loss,Losses/total_loss,Scaled_returns/evaluation_1__no_cooperation_scaled,Scaled_returns/evaluation_0__asymm_advantages_scaled,General/env_index,General/steps_for_env,Evaluation/0__asymm_advantages,Scaled_returns/evaluation_3__smallest_kitchen_scaled,Losses/actor_loss,Losses/entropy,Evaluation/2__square_arena,Evaluation/1__no_cooperation,Scaled_returns/evaluation_4__easy_layout_scaled,Scaled_returns/returned_episode_returns_scaled,explore,Losses/value_loss,returned_episode_returns,Advantage_Targets/advantages,returned_episode,General/shaped_reward_annealed_agent0,General/env_step,Scaled_returns/evaluation_5__cramped_room_scaled,General/update_step,Evaluation/3__smallest_kitchen,General/shaped_reward_agent1,Evaluation/5__cramped_room,Advantage_Targets/targets,Evaluation/4__easy_layout
,3660,840.999885115,7887,1746881150.0090444,,,,,,,,,,,,,,,-0.00067403255,,,,,,,,,,,,,,,,,,,
,3680,841.00039374,7962,1746881154.641776,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,
,3682,841.000440173,7962,1746881154.6418283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
,3729,841.00188439,8037,1746881159.2764227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.0,,,,,
,3764,841.002304413,8112,1746881163.9097104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,,,,
,3765,841.002315042,8112,1746881163.9097362,,,,,,,,,,,,,,,-0.0021663844,,,,,,,,,,,,,,,,,,,
,3769,841.002366389,8112,1746881163.9104335,,,,,,,,,,,,,,,,,,,,,,9.8706776e-05,,,,,,,,,,,,
,3782,841.002514765,8187,1746881168.5423982,,,,,,,,,,,,,,,,,,,,,,,,0.002092372,,,,,,,,,,
,3783,841.002525879,8187,1746881168.5424478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012469009,
,3791,841.002616899,8187,1746881168.5426767,,,,,,,,,,,,,,,,,,,,,,,,,,,768000.0,,,,,,,
,3810,841.002833647,8187,1746881168.5445848,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
,3867,961.024449663,8337,1746881177.8129978,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3879,961.024592109,8337,1746881177.814008,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
,3888,961.024692509,8412,1746881182.4492102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17461053,
,3913,961.024980221,8412,1746881182.4511821,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
,3926,961.025128412,8487,1746881187.0925524,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
,3928,961.025151508,8487,1746881187.0926044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
,3936,961.025245985,8487,1746881187.093875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024241875,,,,,,,,
,3970,961.026119777,8562,1746881191.7401187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
