_step,_runtime,General/env_index,global_step,_timestamp,Scaled_returns/evaluation_4__asymm_advantages_scaled,reward,Scaled_returns/evaluation_1__cramped_room_scaled,General/explore,General/learning_rate,Losses/entropy,Losses/actor_loss,returned_episode_returns,General/env_step,Scaled_returns/evaluation_5__smallest_kitchen_scaled,returned_episode,General/shaped_reward_annealed_agent0,Losses/value_loss,General/shaped_reward_agent1,Evaluation/0__square_arena,Evaluation/5__smallest_kitchen,Advantage_Targets/targets,General/shaped_reward_agent0,Scaled_returns/returned_episode_returns_scaled,Losses/total_loss,Scaled_returns/evaluation_2__no_cooperation_scaled,Evaluation/1__cramped_room,Evaluation/3__easy_layout,Losses/reg_loss,Evaluation/2__no_cooperation,Scaled_returns/evaluation_0__square_arena_scaled,General/steps_for_env,Evaluation/4__asymm_advantages,General/update_step,explore,Scaled_returns/evaluation_3__easy_layout_scaled,General/shaped_reward_annealed_agent1,returned_episode_lengths,Advantage_Targets/advantages,task_5_5__smallest_kitchen
3272,720.894670425,,7056.0,1746880961.7018728,,,,,,,,,,,,,,,,,,,,,,,,,,,6451200.0,,,,,,,,
3287,720.894841466,,7056.0,1746880961.7030704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,
3312,720.895121573,,7131.0,1746880966.0933344,,,,,,,,,,,,,,,,,,,,2.0545497,,,,,,,,,,,,,,,
3344,720.895481106,,7206.0,1746880970.4832628,,,,,,,-0.00065822905,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3356,720.895626921,,7206.0,1746880970.4842238,,,,,,,,,,,0.0078125,,,,,,,,,,,,,,,,,,,,,,,,
3402,720.896153774,,7356.0,1746880979.2632756,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
3412,720.89626578,,7356.0,1746880979.2642477,,,,,,,,,,,,,,,,,,,,,,,,,,,7065600.0,,,,,,,,
3422,720.896378931,,7356.0,1746880979.2651896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
3431,720.896480778,,7431.0,1746880983.654217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001979375,
3440,720.896880178,,7431.0,1746880983.6545706,,,,,,,,,7219200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3464,720.897550146,,7431.0,1746880983.6570783,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3470,720.897722898,,7506.0,1746880988.0454297,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
3496,720.898279994,,7506.0,1746880988.047547,,,,,,,,,,,0.0078125,,,,,,,,,,,,,,,,,,,,,,,,
3498,720.898303953,,7506.0,1746880988.0480766,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3553,720.898949829,,7656.0,1746880996.8264952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3750.0,,,,,,
3566,720.899095873,,7656.0,1746880996.8277857,,,,,,,,,,,0.0078125,,,,,,,,,,,,,,,,,,,,,,,,
3576,720.899205964,,7731.0,1746881001.2155726,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
3599,720.89947249,,7731.0,1746881001.217532,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3618,720.899688876,,7806.0,1746881005.607298,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
3629,720.899815258,,7806.0,1746881005.6088798,,,,,,,,,,,,,,,,,,,,,,,,,,1.003861,,,,,,,,,
3660,840.919290077,,7887.0,1746881129.4798968,,,,,,,-0.0002695886,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3696,840.91973952,,7962.0,1746881133.8238878,,,,,,0.66556466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3720,840.920309698,2.0,8037.0,1746881138.1663673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3766,840.921602825,,8112.0,1746881142.5109525,,,,,,0.5944828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3781,840.921788215,,8112.0,1746881142.5123935,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
3808,840.922127467,,8187.0,1746881146.8554018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
3819,840.92227213,,8262.0,1746881151.1964376,,,,,,,,,,,,,,,260.0,,,,,,,,,,,,,,,,,,,,
