Losses/actor_loss,task_1_1__no_cooperation,General/shaped_reward_annealed_agent1,General/shaped_reward_agent0,Losses/reg_loss,_timestamp,returned_episode,Losses/total_loss,returned_episode_returns,returned_episode_lengths,_runtime,Advantage_Targets/targets,Advantage_Targets/advantages,task_0_0__asymm_advantages,Losses/entropy,Evaluation/4__easy_layout,Scaled_returns/evaluation_4__easy_layout_scaled,Scaled_returns/evaluation_3__smallest_kitchen_scaled,reward,General/update_step,Evaluation/0__asymm_advantages,global_step,Scaled_returns/returned_episode_returns_scaled,General/env_index,Scaled_returns/evaluation_2__square_arena_scaled,explore,General/learning_rate,General/explore,General/steps_for_env,task_2_2__square_arena,task_4_4__easy_layout,task_5_5__cramped_room,Evaluation/5__cramped_room,Scaled_returns/evaluation_0__asymm_advantages_scaled,Losses/value_loss,General/env_step,Scaled_returns/evaluation_5__cramped_room_scaled,_step,Evaluation/1__no_cooperation,Evaluation/2__square_arena,General/shaped_reward_agent1,General/shaped_reward_annealed_agent0,Scaled_returns/evaluation_1__no_cooperation_scaled,task_3_3__smallest_kitchen,Evaluation/3__smallest_kitchen
,,,,,1746880992.822446,,,,,721.104434095,,,,,,,,,,,6231,0.51556504,,,,,,,,,,,,,,,2905,,,,,,,
,,,,,1746880997.2678673,,,,,721.104887818,,,,,,,,,,,6306,,,,,,,,,,,,,30.935856,,,2928,,,,,,,
,,,,,1746881001.8344073,,,,,721.105477048,,,,,,,,,,,6381,,,,,,,,,,,,,,,,2954,,,0.092285156,,,,
,,,,,1746881010.7226598,,,,,721.106601955,,,,,,,,,,,6531,,,,,,,,,,,,,,,,3014,136.0,,,,,,
,,,,,1746881019.6082969,,,,,721.107521409,,,,,,,,,,472.0,6681,,,,,,,,,,,,,,,,3083,,,,,,,
,,,,,1746881024.0524223,,,,,721.108076431,,,,,,,,,,,6756,,,,,,,,,,,,,,5836800.0,,3125,,,,,,,
,,,,,1746881028.5011182,,,,,721.108768178,,,,,,,,,,,6831,,,,0.0,,,,,,,,,,,,3180,,,,,,,
,,,,,1746881032.9431803,,,,,721.109160425,,,,,,,,,,464.0,6906,,,,,,,,,,,,,,,,3188,,,,,,,
,,,,,1746881032.9441054,,,,,721.109415355,,,,,,,,,,,6906,,,,,,,,,,,,,,,,3200,,,,0.031186718,,,
,,,,,1746881032.9452868,,,,,721.109682777,,,,,,,0.0,,,,6906,,,,,,,,,,,,,,,,3212,,,,,,,
,,,,,1746881037.3865948,,,,,721.110258042,,,,,,,,,,,6981,,,,,,0.0,,,,,,,,,,3231,,,,,,,
,,,,,1746881041.8306394,,,,,721.110679873,,,,,,,,,,,7056,,,,,,,,,,,,,,6451200.0,,3265,,,,,,,
,,,,,1746881041.8337228,,,160.0293,,721.110958424,,,,,,,,,,,7056,,,,,,,,,,,,,,,,3288,,,,,,,
,,,,,1746881046.2743216,,,,,721.111072092,,,,,0.0,,,,,,7131,,,,,,,,,,,,,,,,3297,,,,,,,
,,,,,1746881050.7168446,,,,,841.134885811,,,,,,,,,,,7206,,,,,,,,,,,,,,,,3331,,,,,,,0.0
,,,,,1746881050.718757,,,,,841.135136929,,,,,,,,,,,7206,,,,,,,,,,,,,,,,3350,,,,,0.71929824,,
,,,,,1746881050.7196605,,,,,841.13525767,,,,,,,,,,,7206,0.74574256,,,,,,,,,,,,,,,3360,,,,,,,
,,,,,1746881059.602876,,,,,841.135799029,,,,,,,,,,,7356,,,,,,0.0,,,,,,,,,,3406,,,,,,,
,,,,,1746881059.6041632,,39.538742,,,841.135925573,,,,,,,,,,,7356,,,,,,,,,,,,,,,,3417,,,,,,,
,,,,,1746881064.0474327,,,,,841.136356971,,,,,,,,,,,7431,,,,,,,,,,,,1.0132158,,,,3454,,,,,,,
,,,,,1746881072.9322913,,,,,841.136914144,29.318161,,,,,,,,,,7581,,,,,,,,,,,,,,,,3502,,,,,,,
,,,,,1746881072.9354863,,,171.32812,,841.137279581,,,,,,,,,,,7581,,,,,,,,,,,,,,,,3533,,,,,,,
,,,,,1746881072.9355164,,,,,841.137290156,,,,,,,,0.33203125,,,7581,,,,,,,,,,,,,,,,3534,,,,,,,
,,,0.15722656,,1746881077.3769214,,,,,841.138039403,,,,,,,,,,,7656,,,,,,,,,,,,,,,,3548,,,,,,,
,,,,,1746881081.8202488,,,,,841.138893412,,,,,,,,,,,7731,,,,,,,,,,,,,,,,3585,,,,0.0033928119,,,
,,,,,1746881081.8212879,,,,,841.139020994,,,,,,,,,,,7731,,,,,,,,,,,,,,,,3595,,,,,0.80701756,,
,,,,,1746881086.2628772,,,,,841.139407672,,,,,,,,,,,7806,,,,,,,,,,,,,88.387405,,,3628,,,,,,,
,,,,,1746881271.8925283,,,,,961.160917879,,,,,,,,,,,7962,,2.0,,,,,,,,,,,,,,3685,,,,,,,
,,,,,1746881271.8946524,,,,,961.161139569,,,,,,,0.0,,,,7962,,,,,,,,,,,,,,,,3703,,,,,,,
,,0.0,,,1746881280.828655,,,,,961.162808623,,,,,,,,,,,8112,,,,,,,,,,,,,,,,3762,,,,,,,
,,,,,1746881289.765588,,,,,1081.188684986,,,,,,,,,,,8262,,,,,,,,,,,,,,,,3822,,,,,,,0.0
,,,,,1746881289.7675796,,,,,1081.188842057,,,,,,,,,,,8262,,,,,,,921600.0,,,,,,,,,3833,,,,,,,
,,,,,1746881294.2343967,,,,,1081.189252612,,,,,,,,,,,8337,,2.0,,,,,,,,,,,,,,3860,,,,,,,
,,0.0,,,1746881294.2357478,,,,,1081.189341746,,,,,,,,,,,8337,,,,,,,,,,,,,,,,3867,,,,,,,
,,,,,1746881294.2358203,,,,,1081.18936589,,,,,,,,,525.0,,8337,,,,,,,,,,,,,,,,3869,,,,,,,
